Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,26.1,26.592501,24.844999,25.502501,25.15366,150199600
1/4/2017,25.85,26.375,25.3825,26.0975,25.740519,119922000
1/5/2017,26.1325,26.455,25.262501,25.434999,25.08708,98429600
1/6/2017,25.7125,26.0625,25.299999,25.775,25.422428,82285600
1/9/2017,25.875,27,25.875,26.82,26.453133,91624800
1/10/2017,26.952499,27.297501,26.407499,26.6175,26.253405,88092000
1/11/2017,26.5,26.549999,26.0375,26.290001,25.930378,52566400
1/12/2017,26.057501,26.174999,25.405001,25.860001,25.506264,62561600
1/13/2017,25.9,26.25,25.764999,25.8575,25.503799,45782000
1/17/2017,25.75,25.799999,25.1425,25.2775,24.931736,58061200
1/18/2017,25.059999,25.807501,24.7775,25.737499,25.385445,65442400
1/19/2017,25.7675,26.615,25.745001,26.290001,25.930378,64487200
1/20/2017,26.52,26.700001,25.780001,26.002501,25.64682,49202400
1/23/2017,25.950001,26.475,25.924999,26.272499,25.913122,36990400
1/24/2017,26.375,26.895,26.225,26.8325,26.46546,42805200
1/25/2017,27.262501,27.325001,26.5825,26.9475,26.578892,52276000
1/26/2017,26.975,27.487499,26.674999,27.4125,27.037527,45880000
1/27/2017,27.4825,27.9725,27.2125,27.942499,27.560278,47199600
1/30/2017,27.73,27.752501,26.977501,27.504999,27.128763,49600400
1/31/2017,27.237499,27.512501,27.049999,27.295,26.921637,36275600
2/1/2017,27.645,28.530001,27.465,28.487499,28.09782,59000400
2/2/2017,28.325001,28.934999,28.014999,28.8475,28.452896,48324000
2/3/2017,28.862499,28.975,28.475,28.594999,28.20385,37274400
2/6/2017,28.5,29.3325,28.5,29.327499,28.926334,50676800
2/7/2017,29.674999,30.23,29.475,29.782499,29.375107,74622400
2/8/2017,29.6,29.827499,29.094999,29.6525,29.246885,44958000
2/9/2017,29.715,29.764999,28.9,29.094999,28.697018,84256800
2/10/2017,29.9825,30.174999,28.15,28.405001,28.016455,165109200
2/13/2017,28.3475,28.495001,27.049999,27.094999,26.724373,118072400
2/14/2017,26.997499,27.5375,26.5725,27.195,26.823,85063200
2/15/2017,27.225,27.450001,26.940001,27.25,26.877251,37302000
2/16/2017,27.3475,27.360001,26.415001,26.8125,26.445738,64717600
2/17/2017,26.674999,26.852501,26.1975,26.807501,26.440804,56374000
2/21/2017,27.057501,27.807501,27.055,27.7675,27.387667,55195200
2/22/2017,27.855,27.950001,27.497499,27.690001,27.345701,43377200
2/23/2017,26.375,26.5975,24.92,25.122499,24.810129,159288800
2/24/2017,24.2675,25.5,23.924999,25.365,25.049608,102990400
2/27/2017,25.549999,26.254999,25.389999,26.102501,25.777937,71540000
2/28/2017,26.200001,26.299999,25.195,25.370001,25.054552,62536000
3/1/2017,25.9475,26.092501,25.2775,25.6975,25.377977,50480400
3/2/2017,25.567499,25.709999,24.7225,24.75,24.442255,75433200
3/3/2017,24.6425,24.692499,24.055,24.6075,24.301529,86469200
3/6/2017,24.24,24.525,23.7925,24.4175,24.113895,88356800
3/7/2017,24.4175,24.8825,24.2875,24.684999,24.378065,60340000
3/8/2017,25.174999,25.325001,24.6175,24.639999,24.333626,63871200
3/9/2017,24.477501,24.862499,24.35,24.635,24.328688,47806000
3/10/2017,24.9025,25.022499,24.594999,24.780001,24.471884,49974000
3/13/2017,24.885,25.5625,24.877501,25.4625,25.145893,77413600
3/14/2017,25.592501,25.6875,25.1175,25.445,25.128618,52201600
3/15/2017,25.5625,25.747499,25.08,25.637501,25.318722,61503600
3/16/2017,25.745001,25.9575,25.602501,25.952499,25.629803,52310000
3/17/2017,26.129999,26.530001,25.952499,26.5175,26.187782,111968800
3/20/2017,26.695,27.4025,26.532499,27.362499,27.02227,74856800
3/21/2017,27.1875,27.49,26.397499,26.477501,26.148277,91348400
3/22/2017,26.365,27.065001,26.325001,27.0175,26.681562,61676400
3/23/2017,26.9375,27.139999,26.674999,26.772499,26.439608,53394000
3/24/2017,27.2425,27.3225,26.605,26.8675,26.533424,43950000
3/27/2017,26.395,27.102501,25.895,27.0625,26.726004,50664400
3/28/2017,27.075001,27.2225,26.817499,26.922501,26.587744,43244400
3/29/2017,26.997499,27.122499,26.8125,26.834999,26.501328,34999200
3/30/2017,26.907499,27.5,26.85,27.35,27.00993,52553200
3/31/2017,27.252501,27.4725,27.1,27.2325,26.893887,44080800
4/3/2017,27.237499,27.4125,26.855,27.094999,26.758102,44523200
4/4/2017,25.85,26.105,25.084999,25.195,24.881723,127128000
4/5/2017,25.004999,25.592501,24.875,25.0075,24.696554,74704800
4/6/2017,25.059999,25.3125,24.602501,25.190001,24.876783,63512000
4/7/2017,25.254999,25.432501,24.93,25.0825,24.770622,42906800
4/10/2017,25.09,25.157499,24.4,24.442499,24.138578,75633200
4/11/2017,24.137501,24.725,24.0875,24.530001,24.224991,61814800
4/12/2017,24.530001,24.674999,24.275,24.327499,24.025009,41409200
4/13/2017,24.0825,24.3025,23.872499,23.872499,23.575672,50689200
4/17/2017,24.002501,24.809999,23.950001,24.807501,24.499041,49729200
4/18/2017,24.6625,24.885,24.4,24.8225,24.513853,37011600
4/19/2017,25,25.245001,24.852501,24.92,24.610142,38082800
4/20/2017,25.067499,25.362499,24.852501,25.315001,25.000233,40401600
4/21/2017,25.209999,25.4475,25.09,25.42,25.10393,34189600
4/24/2017,25.74,25.870001,25.5275,25.737499,25.41748,37182000
4/25/2017,25.885,26.3325,25.6675,26.184999,25.859417,38844000
4/26/2017,26.3225,26.3475,25.985001,26.004999,25.681652,32700400
4/27/2017,26.08,26.495001,25.897499,26.41,26.081615,31970000
4/28/2017,26.34,26.41,26.0175,26.075001,25.750782,34824800
5/1/2017,26.184999,26.7125,26.112499,26.66,26.32851,30773200
5/2/2017,26.387501,26.4,25.639999,25.870001,25.548332,62997200
5/3/2017,25.799999,26.16,25.65,26.0625,25.738436,33690400
5/4/2017,26.125,26.237499,25.8825,25.9625,25.639681,20978800
5/5/2017,25.844999,26.0375,25.6875,25.965,25.642143,22842800
5/8/2017,26.084999,26.1,25.577499,25.692499,25.373035,36524000
5/9/2017,25.75,26.2325,25.665001,25.735001,25.415007,84767200
5/10/2017,28.5725,30.455,28.504999,30.3225,29.945469,212909600
5/11/2017,30.012501,32.607498,29.977501,31.625,31.231771,193979200
5/12/2017,31.657499,32.400002,31.445,31.9725,31.574947,96262000
5/15/2017,32.389999,33.602501,32.345001,33.577499,33.159988,108754000
5/16/2017,34.095001,34.360001,33.34,34.202499,33.777218,112070000
5/17/2017,33.525002,33.715,31.887501,31.93,31.53298,127136800
5/18/2017,32.375,33.357498,31.762501,33.267502,32.853848,115603200
5/19/2017,34.2575,34.555,33.805,34,33.612606,101837200
5/22/2017,34.442501,34.869999,34.3325,34.724998,34.329338,83660800
5/23/2017,34.924999,34.947498,33.927502,34.2575,33.867176,68124800
5/24/2017,35.240002,35.267502,34.52,34.642502,34.247784,81599600
5/25/2017,35,35.0075,34.110001,34.564999,34.171169,60822800
5/26/2017,34.482498,36.32,34.2775,35.459999,35.055973,77914000
5/30/2017,35.924999,36.572498,35.762501,36.217499,35.804829,98965200
5/31/2017,36.672501,36.75,35.512501,36.087502,35.676319,88731600
6/1/2017,36.247501,36.2575,35.630001,36.09,35.678783,50334000
6/2/2017,36.060001,36.325001,35.849998,35.91,35.500847,48745600
6/5/2017,35.744999,37.1325,35.627499,37.002499,36.580894,81737600
6/6/2017,36.955002,37.422501,36.700001,36.834999,36.415291,75872800
6/7/2017,37.0825,37.470001,36.924999,37.279999,36.855236,61261200
6/8/2017,38.365002,40,37.947498,39.985001,39.529408,116174400
6/9/2017,41.185001,42.125,35.6875,37.400002,36.973866,369292800
6/12/2017,36.470001,37.924999,35.5275,37.4925,37.065315,169753200
6/13/2017,38.599998,38.692501,36.412498,37.849998,37.418732,167250400
6/14/2017,37.880001,38.514999,37.125,37.93,37.497822,118464000
6/15/2017,36.740002,38.400002,36.625,38.092499,37.658474,96382400
6/16/2017,38.189999,38.674999,37.560001,37.904999,37.473106,92496000
6/19/2017,38.352501,39.3825,38.314999,39.330002,38.881874,77817600
6/20/2017,39.7575,40.435001,39.23,39.272499,38.825024,109544400
6/21/2017,39.552502,39.904999,38.924999,39.8675,39.413246,68265200
6/22/2017,39.950001,40.084999,39.349998,39.592499,39.141388,46913200
6/23/2017,39.669998,39.830002,38.305,38.4575,38.019325,108858800
6/26/2017,38.790001,39.150002,37.0825,38.037498,37.604099,106396000
6/27/2017,37.860001,37.947498,36.587502,36.645,36.227467,99949200
6/28/2017,37.330002,37.985001,36.4375,37.9375,37.505234,99494800
6/29/2017,37.650002,37.68,36.02,36.669998,36.252178,106442400
6/30/2017,36.845001,36.982498,35.875,36.139999,35.728218,73106000
7/3/2017,36.262501,36.412498,34.645,34.8325,34.435623,70907200
7/5/2017,35.474998,36.055,35.282501,35.762501,35.355019,82018800
7/6/2017,35.467499,36.345001,34.939999,35.869999,35.4613,74628400
7/7/2017,36.445,36.875,36.212502,36.689999,36.27195,65497200
7/10/2017,37.435001,38.5,37.169998,38.424999,37.98719,95849200
